track_rank,track_title,artist,date_entered
1,"People Got To Be Free","Rascals, The",1968-07-20
2,"Born To Be Wild",Steppenwolf,1968-07-13
3,"Light My Fire","Jose Feliciano",1968-07-27
4,"Harper Valley P.T.A.","Jeannie C. Riley",1968-08-24
5,"Hello, I Love You","Doors, The",1968-07-06
6,"The House That Jack Built","Aretha Franklin",1968-08-17
7,"1,2,3 Red Light","1910 Fruitgum Company, The",1968-07-27
8,"You're All I Need To Get By","Marvin Gaye",1968-07-27
9,"I Can't Stop Dancing","Archie Bell & The Drells",1968-07-20
10,"Stay In My Corner","Dells, The",1968-06-29
11,"Sunshine Of Your Love","Cream, The",1968-01-13
12,"You Keep Me Hangin' On","Vanilla Fudge",1968-07-13
13,Hush,"Deep Purple",1968-08-17
14,"Turn Around, Look At Me","Vogues, The",1968-06-15
15,"Love Makes A Woman","Barbara Acklin",1968-07-13
16,"Classical Gas","Mason Williams",1968-06-22
17,"The Fool On The Hill","Sergio Mendes and Brasil '66",1968-08-10
18,"Slip Away","Clarence Carter",1968-07-13
19,"Journey To The Center Of The Mind","Amboy Dukes, The",1968-06-29
20,Soul-Limbo,"Booker T. & The MG's",1968-07-13
21,"Sealed With A Kiss","Gary Lewis and the Playboys",1968-06-22
22,"Do It Again","Beach Boys, The",1968-07-27
23,"I Say A Little Prayer","Aretha Franklin",1968-08-17
24,"Stoned Soul Picnic","5th Dimension, The",1968-06-01
25,"Dream A Little Dream Of Me","Mama Cass",1968-07-06
26,"Please Return Your Love To Me","Temptations, The",1968-08-03
27,"Magic Bus","Who, The",1968-08-10
28,"Mr. Businessman","Ray Stevens",1968-08-03
29,"Tuesday Afternoon (Forever Afternoon)","Moody Blues, The",1968-07-20
30,"I've Gotta Get A Message To You","Bee Gees",1968-08-17
31,"Pictures Of Matchstick Men","Status Quo, The",1968-05-18
32,"The Eyes Of A New York Woman","B.J. Thomas",1968-06-22
33,"Girls Can't Do What The Guys Do","Betty Wright",1968-08-03
34,"I Get The Sweetest Feeling","Jackie Wilson",1968-07-20
35,"On The Road Again","Canned Heat",1968-08-10
36,"Down At Lulu's","Ohio Express",1968-08-03
37,"Special Occasion","Smokey Robinson",1968-08-17
38,"Girl Watcher","O'Kaysions, The",1968-08-17
39,"Alice Long (You're Still My Favorite Girlfriend)","Tommy Boyce and Bobby Hart",1968-07-06
40,"I've Never Found A Girl (To Love Me Like You Do)","Eddie Floyd",1968-07-27
41,"Hurdy Gurdy Man",Donovan,1968-06-22
42,"I Can't Dance To That Music You're Playin'","Martha Reeves and the Vandellas",1968-08-10
43,"Give A Damn","Spanky and Our Gang",1968-08-03
44,"The Snake","Al Wilson",1968-08-17
45,"Little Green Apples","O.C. Smith",1968-08-17
46,"Hip City (Part 2)","Jr. Walker and the All Stars",1968-08-10
47,"Brown Eyed Woman","Bill Medley",1968-08-03
48,"Six Man Band","Association, The",1968-08-24
49,"I Wish It Would Rain","Gladys Knight and the Pips",1968-08-24
50,"Help Yourself","Tom Jones",1968-08-31
51,"Time Has Come Today","Chambers Brothers, The",1968-08-10
52,"Who Is Gonna Love Me","Dionne Warwick",1968-08-24
53,"Morning Dew",Lulu,1968-08-10
54,"And Suddenly","Cherry People, The",1968-07-20
55,"Can't You Find Another Way (Of Doing It)","Sam and Dave",1968-08-03
56,"To Wait For Love","Herb Alpert",1968-08-31
57,"Listen Here","Eddie Harris",1968-06-15
58,"Keep The One You Got","Joe Tex",1968-08-10
59,"Piece Of My Heart","Big Brother & the Holding Company",1968-08-31
60,"Say It Loud - I'm Black And I'm Proud (Part 1)","James Brown",1968-09-07
61,"(The Lament Of The Cherokee) Indian Reservation","Don Fardon",1968-08-31
62,"My Special Angel","Vogues, The",1968-09-07
63,"Workin' On A Groovy Thing","Patti Drew",1968-08-03
64,"Midnight Confessions","Grass Roots, The",1968-08-31
65,"The Weight","Jackie DeShannon",1968-08-24
66,In-A-Gadda-Da-Vida,"Iron Butterfly",1968-08-24
67,"Barefoot In Baltimore","Strawberry Alarm Clock",1968-08-31
68,"I Loved And I Lost","Impressions, The",1968-07-20
69,"Down On Me","Big Brother & the Holding Company",1968-08-31
70,"(There's) Always Something There To Remind Me","Dionne Warwick",1968-08-31
71,"Break Your Promise","Delfonics, The",1968-08-31
72,"Baby, Come Back","Equals, The",1968-09-07
73,"Fly Me To The Moon","Bobby Womack",1968-08-17
74,"Down Here On The Ground","Lou Rawls",1968-08-31
75,"Private Number","Judy Clay",1968-08-31
76,"The Weight","Band, The",1968-08-31
77,"Unchained Melody","Sweet Inspirations, The",1968-08-31
78,"My Way Of Life","Frank Sinatra",1968-08-31
79,"Hey, Western Union Man","Jerry Butler",1968-08-31
80,"That Kind Of Woman","Merrilee Rush",1968-08-31
81,Fire,"Crazy World Of Arthur Brown, The",1968-09-07
82,"The Mule","James Boys, The",1968-08-31
83,"Don't Change Your Love","Five Stairsteps, The",1968-08-24
84,"Street Fighting Man","Rolling Stones, The",1968-09-07
85,"Do What You Gotta Do","Bobby Vee",1968-08-31
86,"If Love Is In Your Heart","Friend and Lover",1968-08-31
87,"Then You Can Tell Me Goodbye","Eddy Arnold",1968-09-07
88,"Shoot'em Up, Baby","Andy Kim",1968-09-07
89,"Naturally Stoned","Avant-Garde, The",1968-08-31
90,"Shape Of Things To Come","Max Frost and the Troopers",1968-09-07
91,"Light My Fire","Doors, The",1968-08-31
92,"Suzie Q (Part 1)","Creedence Clearwater Revival",1968-09-07
93,"The Funky Judge","Bull And The Matadors",1968-08-24
94,"The Woman I Love","B.B. King",1968-08-24
95,"Sally Had A Party",Flavor,1968-08-03
96,"Help Yourself (To All Of My Lovin')","James and Bobby Purify",1968-08-31
97,"She's About A Mover","Otis Clay",1968-08-24
98,"Since You've Been Gone","Ramsey Lewis",1968-08-31
99,"Fool For You","Impressions, The",1968-09-07
100,"Lady Madonna","Fats Domino",1968-09-07
