artist,track_title,date_peaked,highest
"Tommy James and the Shondells","Crimson And Clover",1969-02-01,1
"Sly & the Family Stone","Everyday People",1969-02-15,1
"Tommy Roe",Dizzy,1969-03-15,1
"5th Dimension, The","Aquarius/Let The Sunshine In (The Flesh Failures)",1969-04-12,1
"Beatles, The","Get Back",1969-05-24,1
"Henry Mancini, His Orchestra and Chorus","Love Theme From Romeo & Juliet",1969-06-28,1
"Zager & Evans","In The Year 2525 (Exordium & Terminus)",1969-07-12,1
"Rolling Stones, The","Honky Tonk Women",1969-08-23,1
"Archies, The","Sugar, Sugar",1969-09-20,1
"Temptations, The","I Can't Get Next To You",1969-10-18,1
"Elvis Presley","Suspicious Minds",1969-11-01,1
"5th Dimension, The","Wedding Bell Blues",1969-11-08,1
"Beatles, The","Come Together",1969-11-29,1
Steam,"Na Na Hey Hey Kiss Him Goodbye",1969-12-06,1
"Peter, Paul and Mary","Leaving on A Jet Plane",1969-12-20,1
"Diana Ross and the Supremes","Someday We'll Be Together",1969-12-27,1
